"REF,""RT"",""GT"",""BT"",""LT"",""aT"",""bT"""
"17-1456 TCX,""226"",""88"",""62"",""75.33"",""44"",""31"""
"16-1541 TCX,""246"",""116"",""95"",""82.00"",""58"",""47.5"""
"17-1663 TCX,""217"",""55"",""68"",""72.33"",""27.5"",""34"""
"18-1652 TCX,""187"",""54"",""63"",""62.33"",""27"",""31.5"""
"19-1763 TCX,""189"",""22"",""44"",""63.00"",""11"",""22"""
"17-1558 TCX,""223"",""63"",""50"",""74.33"",""31.5"",""25"""
"16-1451 TCX,""254"",""99"",""71"",""84.67"",""49.5"",""35.5"""
"17-1664 TCX,""220"",""52"",""59"",""73.33"",""26"",""29.5"""
"18-1661 TCX,""197"",""51"",""70"",""65.67"",""25.5"",""35"""
"18-1655 TCX,""188"",""39"",""50"",""62.67"",""19.5"",""25"""
"17-1562 TCX,""231"",""74"",""51"",""77.00"",""37"",""25.5"""
"17-1547 TCX,""234"",""103"",""89"",""78.00"",""51.5"",""44.5"""
"18-1660 TCX,""206"",""41"",""57"",""68.67"",""20.5"",""28.5"""
"18-1764 TCX,""204"",""28"",""59"",""68.00"",""14"",""29.5"""
"19-1761 TCX,""172"",""12"",""45"",""57.33"",""6"",""22.5"""
"17-1564 TCX,""221"",""65"",""50"",""73.67"",""32.5"",""25"""
"17-1544 TCX,""198"",""93"",""82"",""66.00"",""46.5"",""41"""
"18-1664 TCX,""208"",""28"",""31"",""69.33"",""14"",""15.5"""
"18-1761 TCX,""187"",""18"",""55"",""62.33"",""9"",""27.5"""
"18-1663 TCX,""190"",""19"",""45"",""63.33"",""9.5"",""22.5"""
"17-1563 TCX,""235"",""60"",""39"",""78.33"",""30"",""19.5"""
"17-1553 TCX,""206"",""77"",""66"",""68.67"",""38.5"",""33"""
"18-1662 TCX,""205"",""33"",""42"",""68.33"",""16.5"",""21"""
"19-1760 TCX,""188"",""44"",""61"",""62.67"",""22"",""30.5"""
"19-1663 TCX,""185"",""38"",""54"",""61.67"",""19"",""27"""
"18-1561 TCX,""218"",""50"",""28"",""72.67"",""25"",""14"""
"18-1454 TCX,""194"",""69"",""45"",""64.67"",""34.5"",""22.5"""
"18-1763 TCX,""199"",""31"",""45"",""66.33"",""15.5"",""22.5"""
"19-1764 TCX,""179"",""27"",""56"",""59.67"",""13.5"",""28"""
"19-1664 TCX,""191"",""25"",""50"",""63.67"",""12.5"",""25"""
"18-1445 TCX,""215"",""61"",""38"",""71.67"",""30.5"",""19"""
"18-1555 TCX,""181"",""51"",""46"",""60.33"",""25.5"",""23"""
"18-1550 TCX,""185"",""58"",""50"",""61.67"",""29"",""25"""
"19-1762 TCX,""174"",""15"",""54"",""58.00"",""7.5"",""27"""
"19-1557 TCX,""155"",""27"",""48"",""51.67"",""13.5"",""24"""
